"Cycles","F1.1","F1.2","F2.1","F2.2","F3.1","F3.2","F4.1","F4.2","F5.1","F5.2","F6.1","F6.2"
1,0.1979,0.203,0.2004,0.1939,0.1949,0.1966,0.2005,0.2,0.1971,0.2015,0.2004,0.194
2,0.1971,0.2027,0.1973,0.1924,0.1969,0.1944,0.1996,0.199,0.1975,0.2015,0.1958,0.1931
3,0.1969,0.2043,0.1968,0.1922,0.1949,0.1934,0.1957,0.196,0.1972,0.1981,0.1936,0.1894
4,0.1973,0.205,0.1968,0.1893,0.1931,0.1922,0.1971,0.1959,0.194,0.1964,0.1934,0.1882
5,0.2006,0.2096,0.1969,0.1913,0.1911,0.1917,0.1968,0.1952,0.1937,0.1955,0.1943,0.1903
6,0.2072,0.2153,0.1954,0.1904,0.1926,0.1923,0.1953,0.1956,0.1937,0.1978,0.1935,0.1891
7,0.2211,0.2328,0.1984,0.1924,0.1915,0.1922,0.1946,0.1949,0.1944,0.1957,0.1915,0.1867
8,0.2501,0.2639,0.2008,0.1934,0.192,0.1896,0.1952,0.1943,0.1935,0.1943,0.1926,0.187
9,0.3026,0.3258,0.206,0.2006,0.1902,0.1904,0.1957,0.195,0.1931,0.1962,0.1931,0.1871
10,0.3997,0.434,0.2177,0.2096,0.1919,0.1922,0.1956,0.1943,0.1925,0.1956,0.1939,0.1872
11,0.5575,0.6231,0.2375,0.2315,0.1929,0.1944,0.1947,0.1958,0.1903,0.1945,0.1945,0.1879
12,0.7835,0.8998,0.2807,0.2726,0.1984,0.1992,0.1954,0.1976,0.1926,0.1956,0.1942,0.187
13,1.0099,1.1939,0.3558,0.3443,0.2051,0.2069,0.1973,0.1968,0.1934,0.1946,0.1931,0.1872
14,1.2092,1.4605,0.4836,0.4667,0.2192,0.2214,0.1993,0.201,0.1941,0.1977,0.1927,0.1867
15,1.3751,1.6753,0.6783,0.6545,0.246,0.2496,0.2032,0.2086,0.1959,0.1982,0.1938,0.1886
16,1.5003,1.8299,0.8919,0.8603,0.2933,0.296,0.2121,0.2129,0.1958,0.1979,0.1943,0.1871
17,1.6029,1.9579,1.0954,1.0536,0.3743,0.3834,0.224,0.2273,0.196,0.1994,0.1945,0.1884
18,1.6827,2.0487,1.2747,1.2238,0.5008,0.5233,0.253,0.2588,0.2016,0.2032,0.1946,0.1898
19,1.7407,2.1159,1.4185,1.3581,0.6504,0.6936,0.2988,0.3078,0.2046,0.2088,0.1963,0.19
20,1.791,2.1714,1.5416,1.4747,0.7927,0.8618,0.3796,0.3937,0.2103,0.2149,0.1961,0.1906
21,1.8258,2.2069,1.6439,1.5723,0.932,1.0195,0.4901,0.5261,0.23,0.2341,0.1992,0.1937
22,1.8421,2.2238,1.7195,1.6392,1.0459,1.1489,0.6113,0.6736,0.2552,0.2669,0.2015,0.1952
23,1.8662,2.2463,1.7851,1.6996,1.1473,1.2637,0.7204,0.8124,0.3041,0.324,0.2088,0.1989
24,1.8776,2.253,1.8313,1.7456,1.2405,1.3677,0.8319,0.9472,0.38,0.4187,0.2204,0.2109
25,1.8772,2.2497,1.8679,1.7783,1.31,1.4415,0.9272,1.0592,0.4718,0.5398,0.2384,0.2255
26,1.8843,2.2544,1.9056,1.8072,1.3767,1.5141,1.0169,1.1662,0.5654,0.6676,0.2716,0.2556
27,1.8829,2.2453,1.9176,1.8231,1.4251,1.5671,1.0999,1.2653,0.6581,0.7895,0.3254,0.3117
28,1.8727,2.232,1.9352,1.8343,1.4632,1.6059,1.1636,1.3344,0.7397,0.8967,0.3907,0.3895
29,1.8738,2.2312,1.9531,1.8512,1.5007,1.6477,1.224,1.4042,0.8238,0.9996,0.4567,0.4788
30,1.8649,2.2145,1.9511,1.8495,1.5243,1.6709,1.2723,1.4574,0.9017,1.096,0.5237,0.5677
31,1.8489,2.1941,1.9514,1.8498,1.5438,1.6882,1.3092,1.4955,0.9643,1.1734,0.5794,0.6384
32,1.846,2.1861,1.9596,1.8547,1.5627,1.7082,1.3464,1.5372,1.0244,1.2438,0.6426,0.7153
33,1.8306,2.1666,1.9469,1.8446,1.5737,1.7215,1.375,1.5669,1.0787,1.3099,0.7095,0.7975
34,1.8119,2.1421,1.9394,1.8366,1.5728,1.7179,1.3903,1.5817,1.1144,1.3498,0.7603,0.8576
35,1.8031,2.1316,1.9419,1.835,1.5856,1.7304,1.414,1.6044,1.1545,1.3967,0.8132,0.9198
36,1.7924,2.1118,1.9276,1.823,1.5855,1.727,1.421,1.6161,1.1888,1.4335,0.8664,0.983
37,1.7713,2.0859,1.9117,1.8086,1.5788,1.7221,1.4298,1.6216,1.2062,1.4534,0.9014,1.0209
38,1.7608,2.0722,1.9084,1.8056,1.5835,1.7273,1.4431,1.6342,1.2324,1.4834,0.9406,1.063
39,1.7415,2.0478,1.8869,1.7864,1.5806,1.7175,1.4428,1.6337,1.2489,1.5005,0.977,1.1007
40,1.7223,2.0232,1.8781,1.7763,1.5709,1.7081,1.4406,1.6276,1.2582,1.5074,0.9964,1.126
